yolov3-custom
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Resizing
576
Loaded: 0.000073 seconds
Region 94 Avg IOU: 0.324448, Class: 0.750888, Obj: 0.014879, No Obj: 0.000095, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: 0.733767, Class: 0.993677, Obj: 0.171314, No Obj: 0.001087, .5R: 0.800000, .75R: 0.800000,  count: 5
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000018, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.641645, Class: 0.954294, Obj: 0.253572, No Obj: 0.002419, .5R: 0.750000, .75R: 0.250000,  count: 8
Region 94 Avg IOU: 0.404760, Class: 0.837022, Obj: 0.143720, No Obj: 0.000084, .5R: 0.333333, .75R: 0.000000,  count: 3
Region 82 Avg IOU: 0.686987, Class: 0.995947, Obj: 0.545639, No Obj: 0.001529, .5R: 1.000000, .75R: 0.333333,  count: 3
Region 94 Avg IOU: 0.592889, Class: 0.954598, Obj: 0.626348, No Obj: 0.000108, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.648100, Class: 0.987886, Obj: 0.368730, No Obj: 0.002104, .5R: 0.800000, .75R: 0.200000,  count: 5
Region 94 Avg IOU: 0.459992, Class: 0.896880, Obj: 0.204529, No Obj: 0.000107, .5R: 0.500000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: 0.766739, Class: 0.996575, Obj: 0.277071, No Obj: 0.001535, .5R: 1.000000, .75R: 0.750000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000047, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.628517, Class: 0.945045, Obj: 0.085128, No Obj: 0.000955, .5R: 0.750000, .75R: 0.250000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000016, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.733077, Class: 0.960293, Obj: 0.358492, No Obj: 0.001726, .5R: 0.750000, .75R: 0.500000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000017, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.738284, Class: 0.998366, Obj: 0.481470, No Obj: 0.001285, .5R: 1.000000, .75R: 0.750000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000013, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.606174, Class: 0.919935, Obj: 0.119230, No Obj: 0.001199, .5R: 0.800000, .75R: 0.200000,  count: 5
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000019, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.618578, Class: 0.907735, Obj: 0.365470, No Obj: 0.001672, .5R: 0.750000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000021, .5R: -nan, .75R: -nan,  count: 0
1002: 1.506242, 1.077785 avg, 0.001000 rate, 10.973029 seconds, 64128 images
Loaded: 0.000065 seconds
Region 82 Avg IOU: 0.703500, Class: 0.979736, Obj: 0.093077, No Obj: 0.001348, .5R: 0.800000, .75R: 0.600000,  count: 5
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000026, .5R: -nan, .75R: -nan,  count: 0
