yolov3-custom
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Resizing
512
Loaded: 0.000083 seconds
Region 82 Avg IOU: 0.147687, Class: 0.565167, Obj: 0.520238, No Obj: 0.500875, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.523969, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.299659, Class: 0.345175, Obj: 0.744853, No Obj: 0.498630, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.524539, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.306108, Class: 0.719599, Obj: 0.602501, No Obj: 0.500295, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.524237, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.142891, Class: 0.748127, Obj: 0.700314, No Obj: 0.499871, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.025803, Class: 0.184260, Obj: 0.867667, No Obj: 0.524326, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.189990, Class: 0.572739, Obj: 0.440203, No Obj: 0.498377, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.523355, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.200567, Class: 0.435084, Obj: 0.589970, No Obj: 0.499246, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.524313, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.180900, Class: 0.658549, Obj: 0.466192, No Obj: 0.499077, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.525274, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.127791, Class: 0.780005, Obj: 0.154168, No Obj: 0.498686, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.164606, Class: 0.362263, Obj: 0.332599, No Obj: 0.522733, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 82 Avg IOU: 0.226843, Class: 0.607441, Obj: 0.646641, No Obj: 0.500076, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.524400, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.158704, Class: 0.564949, Obj: 0.426830, No Obj: 0.499853, .5R: 0.000000, .75R: 0.000000,  count: 8
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.523798, .5R: -nan, .75R: -nan,  count: 0
2: 591.619141, 591.804626 avg, 0.000000 rate, 8.529330 seconds, 128 images
Loaded: 0.000075 seconds
Region 82 Avg IOU: 0.342712, Class: 0.631245, Obj: 0.429686, No Obj: 0.497411, .5R: 0.400000, .75R: 0.000000,  count: 5
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.523115, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.206744, Class: 0.602654, Obj: 0.564052, No Obj: 0.498594, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.524078, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.168058, Class: 0.326230, Obj: 0.489403, No Obj: 0.497328, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.524089, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.211847, Class: 0.588475, Obj: 0.524587, No Obj: 0.499773, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.524015, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.180105, Class: 0.501387, Obj: 0.383494, No Obj: 0.498648, .5R: 0.000000, .75R: 0.000000,  count: 11
Region 94 Avg IOU: 0.295748, Class: 0.497600, Obj: 0.539780, No Obj: 0.523841, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: 0.128560, Class: 0.691750, Obj: 0.575699, No Obj: 0.499440, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.524485, .5R: -nan, .75R: -nan,  count: 0
